	weekday	hour	auction_type	slotprice	payprice	click_prob	vid_len
0	0	0	SECOND_PRICE	0	0.5385901359787506	0.26605403423309326	0.5
1	0	0	SECOND_PRICE	0	1.0797891152554515	0.23860616981983185	1.0
2	0	0	SECOND_PRICE	0	0.5361824351054417	0.2668198347091675	0.5
3	0	0	SECOND_PRICE	0	0.5367538172136785	0.27458465099334717	0.5
4	0	0	SECOND_PRICE	0	1.0797663148983294	0.2314748466014862	1.0
5	0	0	SECOND_PRICE	0	0.5389271971964671	0.20552711188793182	0.5
6	0	0	SECOND_PRICE	0	2.1563733483562535	0.22127823531627655	2.0
7	0	0	SECOND_PRICE	0	2.1557114495408345	0.19550752639770508	2.0
8	0	0	SECOND_PRICE	0	2.14458958946826	0.19220751523971558	2.0
9	0	0	SECOND_PRICE	0	2.147463735202631	0.23572777211666107	2.0
10	0	1	SECOND_PRICE	0	1.0780437574689292	0.25800010561943054	1.0
11	0	1	SECOND_PRICE	0	2.152737291766191	0.2890578508377075	2.0
12	0	1	SECOND_PRICE	0	0.5360591414994141	0.3066965639591217	0.5
13	0	1	SECOND_PRICE	0	2.154731286202532	0.1711064726114273	2.0
14	0	1	SECOND_PRICE	0	2.1519364212330836	0.25239843130111694	2.0
15	0	1	SECOND_PRICE	0	0.537883656794834	0.22963425517082214	0.5
16	0	1	SECOND_PRICE	0	2.1580698421072966	0.29688024520874023	2.0
17	0	1	SECOND_PRICE	0	1.07778458407414	0.14752553403377533	1.0
18	0	1	SECOND_PRICE	0	0.5391284271086426	0.27324381470680237	0.5
19	0	1	SECOND_PRICE	0	1.0768659917924213	0.20483773946762085	1.0
20	0	2	SECOND_PRICE	0	2.151750602465715	0.2180488556623459	2.0
21	0	2	SECOND_PRICE	0	0.5387323768225906	0.24838793277740479	0.5
22	0	2	SECOND_PRICE	0	2.1524129918541197	0.2547646164894104	2.0
23	0	2	SECOND_PRICE	0	2.155825096918571	0.11971978843212128	2.0
24	0	2	SECOND_PRICE	0	1.0757904069416904	0.26233670115470886	1.0
25	0	2	SECOND_PRICE	0	2.152188350891948	0.18689969182014465	2.0
